psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:2210:4709:79577_R2	100	0	100	chr8	146364022	129615467	129615567	1	100,	0,	129615467,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:2315:14513:57611_R1	100	0	100	chr8	146364022	128691879	128691979	1	100,	0,	128691879,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:2315:14513:57611_R2	100	0	100	chr8	146364022	129615437	129615537	1	100,	0,	129615437,
96	4	0	0	0	0	0	0	+	HS2000-887_357:5:1103:21051:19599_R1	100	0	100	chr8	146364022	128691837	128691937	1	100,	0,	128691837,
31	0	0	0	0	0	0	0	-	HS2000-887_357:5:1103:21051:19599_R1	100	1	32	chr20	63025520	11808007	11808038	1	31,	68,	11808007,
99	1	0	0	0	0	0	0	+	HS2000-887_357:5:1103:21051:19599_R2	100	0	100	chr8	146364022	129615381	129615481	1	100,	0,	129615381,
100	0	0	0	0	0	0	0	+	HS2000-887_357:5:1204:3960:47830_R1	100	0	100	chr8	146364022	129615365	129615465	1	100,	0,	129615365,
100	0	0	0	0	0	0	0	+	HS2000-887_357:5:1204:3960:47830_R2	100	0	100	chr8	146364022	128691765	128691865	1	100,	0,	128691765,
98	2	0	0	0	0	0	0	+	HS2000-887_357:5:1315:16004:55623_R1	100	0	100	chr8	146364022	128691955	128692055	1	100,	0,	128691955,
56	2	0	0	0	0	0	0	+	HS2000-887_357:5:1315:16004:55623_R2	100	0	58	chr8	146364022	129615537	129615595	1	58,	0,	129615537,
48	1	0	0	0	0	0	0	+	HS2000-887_357:5:1315:16004:55623_R2	100	51	100	chr8	146364022	128691765	128691814	1	49,	51,	128691765,
100	0	0	0	0	0	0	0	+	HS2000-887_357:5:2203:14625:23355_R1	100	0	100	chr8	146364022	129615325	129615425	1	100,	0,	129615325,
99	1	0	0	0	0	0	0	+	HS2000-887_357:5:2203:14625:23355_R2	100	0	100	chr8	146364022	128691839	128691939	1	100,	0,	128691839,
98	2	0	0	0	0	0	0	+	HS2000-887_357:5:2206:14525:24087_R1	100	0	100	chr8	146364022	128691929	128692029	1	100,	0,	128691929,
82	1	0	0	0	0	0	0	+	HS2000-887_357:5:2206:14525:24087_R2	100	0	83	chr8	146364022	129615512	129615595	1	83,	0,	129615512,
100	0	0	0	0	0	0	0	+	HS2000-887_357:5:2214:11582:18338_R1	100	0	100	chr8	146364022	129615329	129615429	1	100,	0,	129615329,
90	0	0	0	0	0	0	0	+	HS2000-887_357:5:2214:11582:18338_R2	100	10	100	chr8	146364022	128691765	128691855	1	90,	10,	128691765,
97	3	0	0	0	0	0	0	+	HS2000-887_357:3:1109:1617:2372_R1	100	0	100	chr15	102531392	63357967	63358067	1	100,	0,	63357967,
87	0	0	0	0	0	0	0	+	HS2000-887_357:3:1109:1617:2372_R2	100	13	100	chr15	102531392	63093907	63093994	1	87,	13,	63093907,
98	2	0	0	0	0	0	0	+	HS2000-887_357:3:1213:10730:40806_R1	100	0	100	chr15	102531392	63357958	63358058	1	100,	0,	63357958,
84	0	0	0	0	0	0	0	+	HS2000-887_357:3:1213:10730:40806_R2	100	16	100	chr15	102531392	63093907	63093991	1	84,	16,	63093907,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chrY	59373566	3071024	3071054	1	30,	52,	3071024,
44	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	100	chrX	155270560	90523807	90523855	1	48,	52,	90523807,
43	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	53	100	chrX	155270560	100702690	100702737	1	47,	53,	100702690,
38	2	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	39	79	chrX	155270560	98593989	98594029	1	40,	39,	98593989,
40	0	0	0	1	7	1	14	+	HS2000-887_357:3:1314:4492:79045_R1	100	35	82	chrX	155270560	117391531	117391585	2	12,28,	35,54,	117391531,117391557,
32	1	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	46	79	chrX	155270560	126693953	126693986	1	33,	46,	126693953,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chrX	155270560	85530416	85530446	1	30,	52,	85530416,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chrX	155270560	45126340	45126370	1	30,	52,	45126340,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chrX	155270560	45213376	45213406	1	30,	52,	45213376,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chrX	155270560	150364966	150364996	1	30,	52,	150364966,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chrX	155270560	23890664	23890694	1	30,	52,	23890664,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chrX	155270560	28360638	28360668	1	30,	52,	28360638,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	48	78	chrX	155270560	58083925	58083955	1	30,	48,	58083925,
45	1	0	0	1	8	1	4	+	HS2000-887_357:3:1314:4492:79045_R1	100	28	82	chr9	141213431	130009898	130009948	2	17,29,	28,53,	130009898,130009919,
36	1	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	45	82	chr9	141213431	125730316	125730353	1	37,	45,	125730316,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr9	141213431	113746253	113746283	1	30,	52,	113746253,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr9	141213431	6514227	6514257	1	30,	52,	6514227,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr9	141213431	114607666	114607696	1	30,	52,	114607666,
42	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	54	100	chr8	146364022	90154667	90154713	1	46,	54,	90154667,
36	1	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	45	82	chr8	146364022	17689097	17689134	1	37,	45,	17689097,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr8	146364022	67527838	67527868	1	30,	52,	67527838,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr8	146364022	32640888	32640918	1	30,	52,	32640888,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr8	146364022	87253119	87253149	1	30,	52,	87253119,
45	3	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	100	chr7	159138663	102541720	102541768	1	48,	52,	102541720,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr7	159138663	51649724	51649754	1	30,	52,	51649724,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr7	159138663	82319034	82319064	1	30,	52,	82319034,
34	0	0	0	1	1	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	47	82	chr6	171115067	120333933	120333967	2	5,29,	47,53,	120333933,120333938,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr6	171115067	53331705	53331735	1	30,	52,	53331705,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr6	171115067	125348164	125348194	1	30,	52,	125348164,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr6	171115067	123006679	123006709	1	30,	52,	123006679,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr6	171115067	117529319	117529349	1	30,	52,	117529319,
44	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	100	chr5	180915260	122289973	122290021	1	48,	52,	122289973,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr5	180915260	11996328	11996358	1	30,	52,	11996328,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr5	180915260	51511027	51511057	1	30,	52,	51511027,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr5	180915260	162495776	162495806	1	30,	52,	162495776,
46	1	0	0	1	1	1	3	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	100	chr4	191154276	120814346	120814396	2	30,17,	52,83,	120814346,120814379,
36	1	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	45	82	chr4	191154276	169982215	169982252	1	37,	45,	169982215,
37	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	59	100	chr4	191154276	74377699	74377740	1	41,	59,	74377699,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr4	191154276	154575492	154575522	1	30,	52,	154575492,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr4	191154276	111182616	111182646	1	30,	52,	111182616,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr4	191154276	47587375	47587405	1	30,	52,	47587375,
37	1	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	90	chr3	198022430	158768099	158768137	1	38,	52,	158768099,
32	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	84	chr3	198022430	190696319	190696351	1	32,	52,	190696319,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr3	198022430	63067814	63067844	1	30,	52,	63067814,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr3	198022430	23742987	23743017	1	30,	52,	23742987,
33	1	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	86	chr22	51304566	34869373	34869407	1	34,	52,	34869373,
41	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	55	100	chr21	48129895	38705535	38705580	1	45,	55,	38705535,
39	0	0	0	1	1	1	11	+	HS2000-887_357:3:1314:4492:79045_R1	100	42	82	chr21	48129895	31495761	31495811	2	9,30,	42,52,	31495761,31495781,
33	1	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	86	chr21	48129895	31429101	31429135	1	34,	52,	31429101,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr21	48129895	41264498	41264528	1	30,	52,	41264498,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr21	48129895	40350919	40350949	1	30,	52,	40350919,
34	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	48	82	chr2	243199373	56788191	56788225	1	34,	48,	56788191,
39	2	0	0	1	7	1	15	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	100	chr2	243199373	123958956	123959012	2	30,11,	52,89,	123958956,123959001,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr2	243199373	102054517	102054547	1	30,	52,	102054517,
38	1	0	0	0	0	1	1	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	91	chr19	59128983	28376985	28377025	2	34,5,	52,86,	28376985,28377020,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr19	59128983	41612486	41612516	1	30,	52,	41612486,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr19	59128983	12306928	12306958	1	30,	52,	12306928,
34	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	86	chr18	78077248	8972556	8972590	1	34,	52,	8972556,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr18	78077248	60135255	60135285	1	30,	52,	60135255,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr18	78077248	50406261	50406291	1	30,	52,	50406261,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr18	78077248	34368690	34368720	1	30,	52,	34368690,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr18	78077248	30947077	30947107	1	30,	52,	30947077,
44	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	100	chr16	90354753	57035527	57035575	1	48,	52,	57035527,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr16	90354753	76924744	76924774	1	30,	52,	76924744,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr16	90354753	64098193	64098223	1	30,	52,	64098193,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr16	90354753	15968496	15968526	1	30,	52,	15968496,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	0	100	chr15	102531392	63093971	63094071	1	100,	0,	63093971,
36	0	0	0	1	1	1	22	+	HS2000-887_357:3:1314:4492:79045_R1	100	42	79	chr15	102531392	69550898	69550956	2	9,27,	42,52,	69550898,69550929,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr14	107349540	58184437	58184467	1	30,	52,	58184437,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr14	107349540	53432283	53432313	1	30,	52,	53432283,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr14	107349540	50663018	50663048	1	30,	52,	50663018,
32	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	54	86	chr13	115169878	97976042	97976074	1	32,	54,	97976042,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr13	115169878	83041633	83041663	1	30,	52,	83041633,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr13	115169878	47822583	47822613	1	30,	52,	47822583,
35	0	0	0	1	1	1	18	+	HS2000-887_357:3:1314:4492:79045_R1	100	43	79	chr13	115169878	40265217	40265270	2	8,27,	43,52,	40265217,40265243,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr13	115169878	37236356	37236386	1	30,	52,	37236356,
44	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	100	chr12	133851895	46999860	46999908	1	48,	52,	46999860,
43	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	53	100	chr12	133851895	33997582	33997629	1	47,	53,	33997582,
40	2	0	0	1	12	1	9	+	HS2000-887_357:3:1314:4492:79045_R1	100	28	82	chr12	133851895	95085016	95085067	2	13,29,	28,53,	95085016,95085038,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr12	133851895	62789152	62789182	1	30,	52,	62789152,
35	1	0	0	0	0	1	7	+	HS2000-887_357:3:1314:4492:79045_R1	100	45	81	chr11	135006516	90339440	90339483	2	30,6,	45,75,	90339440,90339477,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr11	135006516	6996484	6996514	1	30,	52,	6996484,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr11	135006516	120599329	120599359	1	30,	52,	120599329,
32	2	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	86	chr11	135006516	114292320	114292354	1	34,	52,	114292320,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr11	135006516	118711383	118711413	1	30,	52,	118711383,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr11	135006516	17508706	17508736	1	30,	52,	17508706,
42	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	54	100	chr10	135534747	117096710	117096756	1	46,	54,	117096710,
41	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	55	100	chr10	135534747	14068966	14069011	1	45,	55,	14068966,
31	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	83	chr10	135534747	27989869	27989900	1	31,	52,	27989869,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr10	135534747	32808518	32808548	1	30,	52,	32808518,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr10	135534747	74903307	74903337	1	30,	52,	74903307,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr10	135534747	69229562	69229592	1	30,	52,	69229562,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr10	135534747	95935188	95935218	1	30,	52,	95935188,
44	4	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	100	chr1	249250621	101379622	101379670	1	48,	52,	101379622,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	213872258	213872288	1	30,	52,	213872258,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	171010997	171011027	1	30,	52,	171010997,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	110480103	110480133	1	30,	52,	110480103,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	42838254	42838284	1	30,	52,	42838254,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	63265300	63265330	1	30,	52,	63265300,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	161906106	161906136	1	30,	52,	161906106,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	67431208	67431238	1	30,	52,	67431208,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	235558537	235558567	1	30,	52,	235558537,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	106333225	106333255	1	30,	52,	106333225,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	99060320	99060350	1	30,	52,	99060320,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	95929805	95929835	1	30,	52,	95929805,
30	0	0	0	0	0	0	0	+	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chr1	249250621	225525430	225525460	1	30,	52,	225525430,
30	0	0	0	0	0	0	0	-	HS2000-887_357:3:1314:4492:79045_R1	100	52	82	chrY	59373566	7646865	7646895	1	30,	18,	7646865,
43	4	0	0	0	0	1	2	-	HS2000-887_357:3:1314:4492:79045_R1	100	35	82	chrX	155270560	78757027	78757076	2	39,8,	18,57,	78757027,78757068,
33	1	0	0	0	0	0	0	-	HS2000-887_357:3:1314:4492:79045_R1	100	48	82	chrX	155270560	67150940	67150974	1	34,	18,	67150940,
35	0	0	0	1	1	1	2	-	HS2000-887_357:3:1314:4492:79045_R1	100	46	82	chrX	155270560	67154497	67154534	2	30,5,	18,49,	67154497,67154529,
37	0	0	0	1	6	1	7	-	HS2000-887_357:3:1314:4492:79045_R1	100	39	82	chrX	155270560	130368188	130368232	2	30,7,	18,54,	130368188,130368225,
